Feature,Importance
cat__Edema_S,0.32657355239073194
cat__Edema_N,0.2931143121045201
num__N_Days,0.26295496754982406
cat__Ascites_N,0.15219573540541065
cat__Sex_F,0.10174853675901216
cat__Spiders_nan,0.0
cat__Hepatomegaly_nan,0.0
cat__Ascites_nan,0.0
cat__Drug_nan,0.0
num__Albumin,-0.0068443802892352605
cat__Drug_Placebo,-0.013155977687448486
cat__Hepatomegaly_N,-0.01984115571919305
num__Platelets,-0.028657044170800835
num__Tryglicerides,-0.03233874793864531
num__Age,-0.056281004179083056
num__Stage,-0.05772715675755946
num__Cholesterol,-0.0591070163324716
cat__Spiders_Y,-0.06029443968846422
num__Copper,-0.10381171161863335
cat__Spiders_N,-0.10455945942338538
cat__Hepatomegaly_Y,-0.14501274339265643
cat__Drug_D-penicillamine,-0.15169792142440125
num__Bilirubin,-0.1525297114795967
num__Alk_Phos,-0.16454376431060586
num__SGOT,-0.18617788035141117
num__Prothrombin,-0.25117269639594014
cat__Sex_M,-0.26660243587086047
cat__Ascites_Y,-0.31704963451725926
cat__Edema_Y,-0.7845417636071003
