Feature,Importance
numerical__Copper,0.0027224903046669346
ordinal__Stage,0.0020215296402140252
numerical__SGOT,0.0020119967134883845
onehot__Sex_M,0.001195560928829779
onehot__Hepatomegaly_Y,0.0011557023685421545
numerical__Tryglicerides,0.0003882677427364355
numerical__Platelets,0.0002150043115544344
onehot__Drug_D-penicillamine,5.75904626410437e-05
numerical__Alk_Phos,4.730431484642686e-05
onehot__Spiders_nan,0.0
onehot__Drug_nan,0.0
onehot__Ascites_nan,0.0
onehot__Hepatomegaly_nan,0.0
onehot__Spiders_Y,-1.853789314154804e-05
numerical__Cholesterol,-0.00036865584343727934
onehot__Ascites_N,-0.0005416684426542448
onehot__Ascites_Y,-0.000558158201064166
ordinal__Edema,-0.0009452235105924647
onehot__Spiders_N,-0.0010812887505768681
onehot__Drug_Placebo,-0.0011574171063594581
onehot__Hepatomegaly_N,-0.002255529012260581
onehot__Sex_F,-0.0022953875725481927
numerical__Albumin,-0.004281712061050927
numerical__Bilirubin,-0.006090610952063442
numerical__Prothrombin,-0.012938496016595517
numerical__Age,-0.031006976220588053
